carat,cut,color,clarity,depth,table,x,y,z,price
0.9,Very Good,E,VVS2,62.2,60,6.04,6.12,3.78,6289
1.01,Good,H,SI1,63.7,60,6.35,6.3,4.03,4836
1.21,Good,H,SI1,63.8,64,6.72,6.63,4.26,5407
1.1,Premium,D,SI1,60.7,55,6.74,6.71,4.08,6468
1.01,Ideal,D,VS2,59.8,56,6.52,6.49,3.89,7127
1.19,Ideal,J,SI2,61.7,56,6.8,6.85,4.21,4508
1.5,Premium,H,SI2,61.4,62,7.4,7.25,4.49,7187
1.19,Ideal,G,SI1,62.3,55,6.76,6.81,4.23,6335
1.21,Premium,J,VVS2,61.7,60,6.82,6.85,4.22,5431
1.01,Very Good,G,SI1,62.8,56,6.35,6.43,4.01,5049
1.26,Ideal,J,SI1,62.0,56,6.9,6.93,4.29,5301
1.14,Premium,G,VS2,61.4,60,6.71,6.68,4.11,7079
1.02,Very Good,F,VS1,62.4,58,6.42,6.47,4.02,7587
1.21,Ideal,I,VVS1,61.6,55,6.88,6.8,4.21,7086
1.01,Premium,G,VVS2,61.7,59,6.44,6.37,3.95,7466
1.13,Premium,H,SI1,60.9,59,6.79,6.7,4.11,5050
1.2,Premium,G,SI1,62.2,58,6.8,6.7,4.2,5154
1.26,Ideal,J,VS2,63.2,57,6.86,6.81,4.32,5306
0.9,Ideal,G,VVS1,61.6,57,6.24,6.16,3.82,5564
1.01,Good,E,SI1,64.3,59,6.31,6.34,4.07,4766
1.37,Premium,G,VS2,61.6,59,7.11,7.04,4.36,7951
0.9,Good,H,VS2,61.5,61,6.15,6.24,3.81,4156
1.02,Premium,H,SI1,60.3,59,6.5,6.44,3.9,4558
0.9,Very Good,D,VS2,63.0,62,6.06,6.13,3.84,4668
0.92,Very Good,E,VS1,60.9,61,6.22,6.25,3.8,5453
1.45,Very Good,J,VS2,62.8,57,7.14,7.17,4.49,6671
1.16,Ideal,I,VS2,61.5,57,6.78,6.75,4.16,5302
1.01,Premium,E,SI2,61.6,56,6.45,6.4,3.96,4751
0.97,Ideal,G,SI2,62.7,57,6.31,6.28,3.95,4101
1.03,Ideal,J,SI2,62.4,56,6.44,6.48,4.03,4054
1.0,Good,D,VS1,64.0,58,6.27,6.21,3.99,6250
0.9,Very Good,D,SI1,61.0,63,6.13,6.1,3.73,4304
1.0,Fair,F,VS2,68.3,58,5.98,5.95,4.08,4312
0.96,Ideal,F,VS1,61.2,56,6.34,6.38,3.89,5767
1.24,Premium,H,SI2,61.2,57,7.02,6.87,4.25,5694
1.21,Very Good,I,SI1,63.3,60,6.76,6.69,4.26,4404
0.9,Ideal,E,SI1,61.7,57,6.21,6.24,3.84,4940
1.01,Very Good,G,VS1,58.8,58,6.52,6.61,3.86,6777
1.01,Good,E,SI2,63.7,55,6.38,6.31,4.05,4118
1.26,Very Good,G,SI1,63.2,61,6.87,6.81,4.32,7000
1.22,Ideal,I,SI1,62.3,58,6.8,6.82,4.24,6398
1.0,Very Good,E,VS1,63.0,56,6.39,6.41,4.03,7453
1.01,Very Good,E,VS2,63.4,60,6.37,6.31,4.02,6787
1.22,Ideal,H,SI1,61.9,55,6.82,6.87,4.24,7870
1.5,Good,H,SI2,59.8,61,7.39,7.49,4.45,6798
1.01,Ideal,G,VS1,61.8,57,6.45,6.4,3.97,6618
1.0,Ideal,F,VS2,62.6,57,6.4,6.35,3.99,6804
0.91,Very Good,H,VS1,63.4,56,6.18,6.12,3.9,4224
1.28,Premium,H,SI2,60.2,58,7.13,7.03,4.26,6093
1.17,Very Good,G,SI1,63.3,61,6.65,6.59,4.19,5025
1.22,Ideal,G,VS2,62.0,55,6.83,6.91,4.26,7923
0.9,Very Good,D,SI1,62.5,59,6.11,6.15,3.83,4579
0.71,Ideal,D,VVS2,61.6,56,5.69,5.77,3.53,4222
1.11,Premium,E,SI2,62.5,58,6.63,6.61,4.14,4664
0.8,Very Good,E,VS1,62.4,54,5.98,5.94,3.72,4495
1.25,Premium,J,SI2,61.5,57,7.0,6.93,4.28,4690
1.02,Premium,G,SI2,62.9,59,6.4,6.38,4.02,4370
1.02,Very Good,H,VS2,62.5,56,6.42,6.45,4.02,5217
1.01,Good,G,SI1,60.7,59,6.35,6.4,3.87,4672
0.9,Very Good,G,VS2,61.5,60,6.13,6.16,3.78,4386
1.13,Very Good,E,SI1,62.7,57,6.62,6.65,4.16,4922
